dateutc,tempinf,humidityin,baromrelin,baromabsin,tempf,battout,humidity,winddir,windspeedmph,windgustmph,maxdailygust,hourlyrainin,eventrainin,dailyrainin,weeklyrainin,monthlyrainin,totalrainin,solarradiation,uv,batt_co2,feelsLike,dewPoint,feelsLikein,dewPointin,lastRain,tz,date
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
1634545800000,30.27777777777778,68,758.7742,756.6152,27.22222222222222,1,86,180,0.0,0.0,2.592832,0.0,8.102599999999999,2.5908,8.102599999999999,64.7954,202.692,54.56,0,1,30.97222222222222,24.666666666666668,35.22222222222222,23.722222222222225,2021-10-18 16:21:00,Asia/Singapore,2021-10-18 16:30:00
